Iteracija,Korak,Vloga (kdo),Trajanje (h),Cakanje (h),Tip aktivnosti (VA/NVA),Napake (st)
1,Priprava 3D modela implantata,Raziskovalec,0.83,0.0,VA,0
1,Pošiljanje modela v pregled,Raziskovalec,0.12,0.6,NVA,0
1,Čakanje na odobritev,Vodja laboratorija,2.09,2.2,NVA,1
1,Priprava tiskalnika in materiala,Raziskovalec,0.38,0.0,VA,0
1,Čakanje na prost tiskalnik,Raziskovalec,1.52,0.0,NVA,0
1,3D tisk,Raziskovalec / tiskalnik,2.12,0.0,VA,0
1,Hlajenje modela,—,3,0,NNVA,0
1,Odstranjevanje podpornih struktur,Raziskovalec,0.21,0.6,VA,0
1,Kontrola kakovosti,Kontrolor kakovosti,0.25,0.0,NNVA,0
1,Ponoven tisk (če napaka),Raziskovalec,1.17,1.3,NVA,0
1,Označevanje in vpis v dokumentacijo,Raziskovalec,0.15,1.3,NVA,1
2,Priprava 3D modela implantata,Raziskovalec,1.02,0.6,VA,0
2,Pošiljanje modela v pregled,Raziskovalec,0.66,0.6,NVA,0
2,Čakanje na odobritev,Vodja laboratorija,0.07,2.2,NVA,0
2,Priprava tiskalnika in materiala,Raziskovalec,0.31,0.0,VA,0
2,Čakanje na prost tiskalnik,Raziskovalec,-0.0,0.6,NVA,0
2,3D tisk,Raziskovalec / tiskalnik,2.0,0.5,VA,0
2,Hlajenje modela,—,0,3,NNVA,0
2,Odstranjevanje podpornih struktur,Raziskovalec,0.32,1.3,VA,0
2,Kontrola kakovosti,Kontrolor kakovosti,0.13,0.8,NNVA,0
2,Ponoven tisk (če napaka),Raziskovalec,0.07,0.6,NVA,0
2,Označevanje in vpis v dokumentacijo,Raziskovalec,0.01,1.3,NVA,0
3,Priprava 3D modela implantata,Raziskovalec,1.04,0.0,VA,0
3,Pošiljanje modela v pregled,Raziskovalec,1.12,0.6,NVA,0
3,Čakanje na odobritev,Vodja laboratorija,1.72,2.2,NVA,0
3,Priprava tiskalnika in materiala,Raziskovalec,0.16,1.3,VA,0
3,Čakanje na prost tiskalnik,Raziskovalec,0.27,0.0,NVA,0
3,3D tisk,Raziskovalec / tiskalnik,2.54,0.5,VA,0
3,Hlajenje modela,—,0.06,0.57,NNVA,0
3,Odstranjevanje podpornih struktur,Raziskovalec,0.34,0.0,VA,0
3,Kontrola kakovosti,Kontrolor kakovosti,0.27,0.8,NNVA,0
3,Ponoven tisk (če napaka),Raziskovalec,0.14,0.6,NVA,0
3,Označevanje in vpis v dokumentacijo,Raziskovalec,-0.07,0.6,NVA,0
4,Priprava 3D modela implantata,Raziskovalec,0.93,1.3,VA,0
4,Pošiljanje modela v pregled,Raziskovalec,1.62,1.3,NVA,0
